id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z12fcvorez3swv5rx04cjz2zutriydaaokc0k,Annemoon “Moon” Van Maastricht,18 hours ago,1475559538837,bloody hell I want to see this so badly,0,false,0,,,,,,
z13uedt54qychtg4s04cgnhycyvjtzma4h0,kk sean,1 day ago,1475473138838,It would be awesome if there's a movie about Satyendra Nath Bose.,0,false,0,,,,,,
z130ylb5zomgjhvm123juxeykx34i13fb,Mar Celo,1 day ago,1475473138839,Toby Jones 👏🏽,0,false,0,,,,,,
z13wzvhzzsegyzu2q23juxeykx34i13fb,Mar Celo,1 day ago,1475473138839,Looks good,0,false,0,,,,,,
z13lzzpwsnqfu5fwb04cdp1bpunmvrgjkno0k,RM Mobile,2 days ago,1475386738840,Thamilen,0,false,0,,,,,,
z13njn1gysizhpkxq04cjpkw2trltf4wimw0k,ayoub ultrtraa,2 days ago,1475386738841,england rasict live for arabs and indians,0,false,0,,,,,,
z12dehra3vf1ehaiw04cjtbavquqshmzoiw,Revilla Pasha,3 days ago,1475300338841,wat the second music lol,0,false,0,,,,,,
z13hc1j5nqu2erkql04ch114ytijy5gb4mw0k,manIdolovecows,4 days ago,1475213938842,God Almighty he really existed. This is that blessed mathematician spoken about on Good Will Hunting movie that he had a incredible mind and one professor despite everyone else believed in him. I really tought that was a made up story,0,false,0,,,,,,
z13kedczbxivtfo0l23zgjiafl3mfxnh104,Bobby A,4 days ago,1475213938842,the human race needs to be pure.. be honest... but above all.. be yourself...,0,false,0,,,,,,
z13bwtsrmnqyfpkvd22uh1uq1sycxj40n,al mamun,4 days ago,1475213938843,"Тhis mоvie is now аvаilableeе tо wаtсссh here => https://twitter.com/2a9be8407affed65f/status/734998031968391169?SShvT=f82398fb-961b-4f49-9ca4-856a7eb0b433 Тhe Man Who Knew Infinity Оffiсiааl Тrailеr #1 (2016) - Dеv Patеl, Jerеmуyу Irоns Mоvie HD",0,false,0,,,,,,
z13oud0o4kmrhtxqj04cef1rvkuyt3nqpgo,NetvorMcWolf,4 days ago,1475213938843,1:15 Felt like Harry Potter ..,0,false,0,,,,,,
z133dv2rasvqtjius22agdypnofixfhw404,krutoysilnostarina,5 days ago,1475127538844,Indians have the worst accidents...,0,false,0,,,,,,
z13nijm51v2czffwf04ch1iaepbou3hipyo0k,gamer zone,5 days ago,1475127538844,iam an engineer and i going to watch it .,0,false,0,,,,,,
z123exsqonqpydt0522lu1gbhwnkxfnkq,Leonardo C,6 days ago,1475041138845,Srinivasa Aiyangar Ramanujan,0,false,0,,,,,,
z124zfrhtwe3gfl3g22cv3njjxifg1dbg04,unu960,1 week ago,1474954738845,this music ❤,0,false,0,,,,,,
z13wdvhy0uq1ulel123zyxh5cwitvl32s,Sexy scientist,1 week ago,1474954738846,"I know a person who actually FEELS infinity, Victoria Hart. I'm in love with her love for maths.",0,false,0,,,,,,
z12auv3imzfrz0ockmzpghhjxomvcnrk1,Xrod Gaming,1 week ago,1474954738846,This movie is a great inspiration that shows beauties in life.,0,false,0,,,,,,
z13gxtqh4qaydbhce230ernzymmutr3qn04,Riju Chaudhuri,1 week ago (edited),1474954738847,The story of an Amazing man with an amazing soundtrack! Love Ice of Phoenix and Nero!,0,false,0,,,,,,
z13mv1sj3wbfuh1w004cijcj4zn4dzrjeqk0k,Lord Knowz,1 week ago,1474954738848,he dont know shit,0,false,0,,,,,,
